video_page,video_page-href,description,views,tags_click,transcript_text,comments,pagination
The 3 A's of awesome,https://www.ted.com/talks/neil_pasricha_the_3_a_s_of_awesome,"Neil Pasricha's blog 1000 Awesome Things savors life's simple pleasures, from free refills to clean sheets. In this heartfelt talk, he reveals the 3 secrets (all starting with A) to leading a life that's truly awesome.","3,073,210","TEDx, happiness, life, love, personalgrowth, psychology, writing, books","So the Awesome story: It begins about 40 years ago, when my mom and my dad came to Canada. My mom left Nairobi, Kenya. My dad left a small village outside of Amritsar, India. And they got here in the late 1960s. They settled in a shady suburb about an hour east of Toronto, and they settled into a new life. They saw their first dentist, they ate their first hamburger, and they had their first kids. My sister and I grew up here, and we had quiet, happy childhoods. We had close family, good friends, a quiet street. We grew up taking for granted a lot of the things that my parents couldn't take for granted when they grew up -- things like power always on in our houses, things like schools across the street and hospitals down the road and popsicles in the backyard. We grew up, and we grew older. I went to high school. I graduated. I moved out of the house, I got a job, I found a girl, I settled down -- and I realize it sounds like a bad sitcom or a Cat Stevens' song -- (Laughter) but life was pretty good. Life was pretty good. 2006 was a great year. Under clear blue skies in July in the wine region of Ontario, I got married, surrounded by 150 family and friends. 2007 was a great year. I graduated from school, and I went on a road trip with two of my closest friends. Here's a picture of me and my friend, Chris, on the coast of the Pacific Ocean. We actually saw seals out of our car window, and we pulled over to take a quick picture of them and then blocked them with our giant heads. (Laughter) So you can't actually see them, but it was breathtaking, believe me. (Laughter) 2008 and 2009 were a little tougher. I know that they were tougher for a lot of people, not just me. First of all, the news was so heavy. It's still heavy now, and it was heavy before that, but when you flipped open a newspaper, when you turned on the TV, it was about ice caps melting, wars going on around the world, earthquakes, hurricanes and an economy that was wobbling on the brink of collapse, and then eventually did collapse, and so many of us losing our homes, or our jobs, or our retirements, or our livelihoods. 2008, 2009 were heavy years for me for another reason, too. I was going through a lot of personal problems at the time. My marriage wasn't going well, and we just were growing further and further apart. One day my wife came home from work and summoned the courage, through a lot of tears, to have a very honest conversation. And she said,  ""I don't love you anymore, "" and it was one of the most painful things I'd ever heard and certainly the most heartbreaking thing I'd ever heard, until only a month later, when I heard something even more heartbreaking. My friend Chris, who I just showed you a picture of, had been battling mental illness for some time. And for those of you whose lives have been touched by mental illness, you know how challenging it can be. I spoke to him on the phone at 10:30 p.m. on a Sunday night. We talked about the TV show we watched that evening. And Monday morning, I found out that he disappeared. Very sadly, he took his own life. And it was a really heavy time. And as these dark clouds were circling me, and I was finding it really, really difficult to think of anything good, I said to myself that I really needed a way to focus on the positive somehow. So I came home from work one night, and I logged onto the computer, and I started up a tiny website called 1000awesomethings.com. I was trying to remind myself of the simple, universal, little pleasures that we all love, but we just don't talk about enough -- things like waiters and waitresses who bring you free refills without asking, being the first table to get called up to the dinner buffet at a wedding, wearing warm underwear from just out of the dryer, or when cashiers open up a new check-out lane at the grocery store and you get to be first in line -- even if you were last at the other line, swoop right in there. (Laughter) And slowly over time, I started putting myself in a better mood. I mean, 50,000 blogs are started a day, and so my blog was just one of those 50,000. And nobody read it except for my mom. Although I should say that my traffic did skyrocket and go up by 100 percent when she forwarded it to my dad. (Laughter) And then I got excited when it started getting tens of hits, and then I started getting excited when it started getting dozens and then hundreds and then thousands and then millions. It started getting bigger and bigger and bigger. And then I got a phone call, and the voice at the other end of the line said,  ""You've just won the Best Blog In the World award. "" I was like, that sounds totally fake. (Laughter) (Applause) Which African country do you want me to wire all my money to? (Laughter) But it turns out, I jumped on a plane, and I ended up walking a red carpet between Sarah Silverman and Jimmy Fallon and Martha Stewart. And I went onstage to accept a Webby award for Best Blog. And the surprise and just the amazement of that was only overshadowed by my return to Toronto, when, in my inbox, 10 literary agents were waiting for me to talk about putting this into a book. Flash-forward to the next year and  ""The Book of Awesome "" has now been number one on the bestseller list for 20 straight weeks. (Applause) But look, I said I wanted to do three things with you today. I said I wanted to tell you the Awesome story, I wanted to share with you the three As of Awesome, and I wanted to leave you with a closing thought. So let's talk about those three As. Over the last few years, I haven't had that much time to really think. But lately I have had the opportunity to take a step back and ask myself:  ""What is it over the last few years that helped me grow my website, but also grow myself? "" And I've summarized those things, for me personally, as three As. They are Attitude, Awareness and Authenticity. I'd love to just talk about each one briefly. So Attitude: Look, we're all going to get lumps, and we're all going to get bumps. None of us can predict the future, but we do know one thing about it and that's that it ain't gonna go according to plan. We will all have high highs and big days and proud moments of smiles on graduation stages, father-daughter dances at weddings and healthy babies screeching in the delivery room, but between those high highs, we may also have some lumps and some bumps too. It's sad, and it's not pleasant to talk about, but your husband might leave you, your girlfriend could cheat, your headaches might be more serious than you thought, or your dog could get hit by a car on the street. It's not a happy thought, but your kids could get mixed up in gangs or bad scenes. Your mom could get cancer, your dad could get mean. And there are times in life when you will be tossed in the well, too, with twists in your stomach and with holes in your heart, and when that bad news washes over you, and when that pain sponges and soaks in, I just really hope you feel like you've always got two choices. One, you can swirl and twirl and gloom and doom forever, or two, you can grieve and then face the future with newly sober eyes. Having a great attitude is about choosing option number two, and choosing, no matter how difficult it is, no matter what pain hits you, choosing to move forward and move on and take baby steps into the future. The second  ""A "" is Awareness. I love hanging out with three year-olds. I love the way that they see the world, because they're seeing the world for the first time. I love the way that they can stare at a bug crossing the sidewalk. I love the way that they'll stare slack-jawed at their first baseball game with wide eyes and a mitt on their hand, soaking in the crack of the bat and the crunch of the peanuts and the smell of the hotdogs. I love the way that they'll spend hours picking dandelions in the backyard and putting them into a nice centerpiece for Thanksgiving dinner. I love the way that they see the world, because they're seeing the world for the first time. Having a sense of awareness is just about embracing your inner three year-old. Because you all used to be three years old. That three-year-old boy is still part of you. That three-year-old girl is still part of you. They're in there. And being aware is just about remembering that you saw everything you've seen for the first time once, too. So there was a time when it was your first time ever hitting a string of green lights on the way home from work. There was the first time you walked by the open door of a bakery and smelt the bakery air, or the first time you pulled a 20-dollar bill out of your old jacket pocket and said,  ""Found money. "" The last  ""A "" is Authenticity. And for this one, I want to tell you a quick story. Let's go all the way back to 1932 when, on a peanut farm in Georgia, a little baby boy named Roosevelt Grier was born. Roosevelt Grier, or Rosey Grier, as people used to call him, grew up and grew into a 300-pound, six-foot-five linebacker in the NFL. He's number 76 in the picture. Here he is pictured with the  ""fearsome foursome. "" These were four guys on the L.A. Rams in the 1960s you did not want to go up against. They were tough football players doing what they love, which was crushing skulls and separating shoulders on the football field. But Rosey Grier also had another passion. In his deeply authentic self, he also loved needlepoint. (Laughter) He loved knitting. He said that it calmed him down, it relaxed him, it took away his fear of flying and helped him meet chicks. That's what he said. I mean, he loved it so much that, after he retired from the NFL, he started joining clubs. And he even put out a book called  ""Rosey Grier's Needlepoint for Men. "" (Laughter) (Applause) It's a great cover. If you notice, he's actually needlepointing his own face. (Laughter) And so what I love about this story is that Rosey Grier is just such an authentic person, and that's what authenticity is all about. It's just about being you and being cool with that. And I think when you're authentic, you end up following your heart, and you put yourself in places and situations and in conversations that you love and that you enjoy. You meet people that you like talking to. You go places you've dreamt about. And you end you end up following your heart and feeling very fulfilled. So those are the three A's. For the closing thought, I want to take you all the way back to my parents coming to Canada. I don't know what it would feel like coming to a new country when you're in your mid-20s. I don't know, because I never did it, but I would imagine that it would take a great attitude. I would imagine that you'd have to be pretty aware of your surroundings and appreciating the small wonders that you're starting to see in your new world. And I think you'd have to be really authentic, you'd have to be really true to yourself in order to get through what you're being exposed to. I'd like to pause my TEDTalk for about 10 seconds right now, because you don't get many opportunities in life to do something like this, and my parents are sitting in the front row. So I wanted to ask them to, if they don't mind, stand up. And I just wanted to say thank you to you guys. (Applause) When I was growing up, my dad used to love telling the story of his first day in Canada. And it's a great story, because what happened was he got off the plane at the Toronto airport, and he was welcomed by a non-profit group, which I'm sure someone in this room runs. (Laughter) And this non-profit group had a big welcoming lunch for all the new immigrants to Canada. And my dad says he got off the plane and he went to this lunch and there was this huge spread. There was bread, there was those little, mini dill pickles, there was olives, those little white onions. There was rolled up turkey cold cuts, rolled up ham cold cuts, rolled up roast beef cold cuts and little cubes of cheese. There was tuna salad sandwiches and egg salad sandwiches and salmon salad sandwiches. There was lasagna, there was casseroles, there was brownies, there was butter tarts, and there was pies, lots and lots of pies. And when my dad tells the story, he says,  ""The craziest thing was, I'd never seen any of that before, except bread. (Laughter) I didn't know what was meat, what was vegetarian. I was eating olives with pie. (Laughter) I just couldn't believe how many things you can get here. "" (Laughter) When I was five years old, my dad used to take me grocery shopping, and he would stare in wonder at the little stickers that are on the fruits and vegetables. He would say,  ""Look, can you believe they have a mango here from Mexico? They've got an apple here from South Africa. Can you believe they've got a date from Morocco? "" He's like,  ""Do you know where Morocco even is? "" And I'd say,  ""I'm five. I don't even know where I am. Is this A&amp;P? "" And he'd say,  ""I don't know where Morocco is either, but let's find out. "" And so we'd buy the date, and we'd go home. And we'd actually take an atlas off the shelf, and we'd flip through until we found this mysterious country. And when we did, my dad would say,  ""Can you believe someone climbed a tree over there, picked this thing off it, put it in a truck, drove it all the way to the docks and then sailed it all the way across the Atlantic Ocean and then put it in another truck and drove that all the way to a tiny grocery store just outside our house, so they could sell it to us for 25 cents? "" And I'd say,  ""I don't believe that. "" And he's like,  ""I don't believe it either. Things are amazing. There's just so many things to be happy about. "" When I stop to think about it, he's absolutely right. There are so many things to be happy about. We are the only species on the only life-giving rock in the entire universe that we've ever seen, capable of experiencing so many of these things. I mean, we're the only ones with architecture and agriculture. We're the only ones with jewelry and democracy. We've got airplanes, highway lanes, interior design and horoscope signs. We've got fashion magazines, house party scenes. You can watch a horror movie with monsters. You can go to a concert and hear guitars jamming. We've got books, buffets and radio waves, wedding brides and rollercoaster rides. You can sleep in clean sheets. You can go to the movies and get good seats. You can smell bakery air, walk around with rain hair, pop bubble wrap or take an illegal nap. We've got all that, but we've only got 100 years to enjoy it. And that's the sad part. The cashiers at your grocery store, the foreman at your plant, the guy tailgating you home on the highway, the telemarketer calling you during dinner, every teacher you've ever had, everyone that's ever woken up beside you, every politician in every country, every actor in every movie, every single person in your family, everyone you love, everyone in this room and you will be dead in a hundred years. Life is so great that we only get such a short time to experience and enjoy all those tiny little moments that make it so sweet. And that moment is right now, and those moments are counting down, and those moments are always, always, always fleeting. You will never be as young as you are right now. And that's why I believe that if you live your life with a great attitude, choosing to move forward and move on whenever life deals you a blow, living with a sense of awareness of the world around you, embracing your inner three year-old and seeing the tiny joys that make life so sweet and being authentic to yourself, being you and being cool with that, letting your heart lead you and putting yourself in experiences that satisfy you, then I think you'll live a life that is rich and is satisfying, and I think you'll live a life that is truly awesome. Thank you.""}]",601,
Measuring what makes life worthwhile,https://www.ted.com/talks/chip_conley_measuring_what_makes_life_worthwhile,"When the dotcom bubble burst, hotelier Chip Conley went in search of a business model based on happiness. In an old friendship with an employee and in the wisdom of a Buddhist king, he learned that success comes from what you count.","3,050,317","Buddhism, business, economics, happiness, money, psychology","I'm going to talk about the simple truth in leadership in the 21st century. In the 21st century, we need to actually look at -- and what I'm actually going to encourage you to consider today -- is to go back to our school days when we learned how to count. But I think it's time for us to think about what we count. Because what we actually count truly counts. Let me start by telling you a little story. This is Van Quach. She came to this country in 1986 from Vietnam. She changed her name to Vivian because she wanted to fit in here in America. Her first job was at an inner-city motel in San Francisco as a maid. I happened to buy that motel about three months after Vivian started working there. So Vivian and I have been working together for 23 years. With the youthful idealism of a 26-year-old, in 1987, I started my company and I called it Joie de Vivre, a very impractical name, because I actually was looking to create joy of life. And this first hotel that I bought, motel, was a pay-by-the-hour, no-tell motel in the inner-city of San Francisco. As I spent time with Vivian, I saw that she had sort of a joie de vivre in how she did her work. It made me question and curious: How could someone actually find joy in cleaning toilets for a living? So I spent time with Vivian, and I saw that she didn't find joy in cleaning toilets. Her job, her goal and her calling was not to become the world's greatest toilet scrubber. What counts for Vivian was the emotional connection she created with her fellow employees and our guests. And what gave her inspiration and meaning was the fact that she was taking care of people who were far away from home. Because Vivian knew what it was like to be far away from home. That very human lesson, more than 20 years ago, served me well during the last economic downturn we had. In the wake of the dotcom crash and 9/11, San Francisco Bay Area hotels went through the largest percentage revenue drop in the history of American hotels. We were the largest operator of hotels in the Bay Area, so we were particularly vulnerable. But also back then, remember we stopped eating French fries in this country. Well, not exactly, of course not. We started eating  ""freedom fries, "" and we started boycotting anything that was French. Well, my name of my company, Joie de Vivre -- so I started getting these letters from places like Alabama and Orange County saying to me that they were going to boycott my company because they thought we were a French company. And I'd write them back, and I'd say,  ""What a minute. We're not French. We're an American company. We're based in San Francisco. "" And I'd get a terse response:  ""Oh, that's worse. "" (Laughter) So one particular day when I was feeling a little depressed and not a lot of joie de vivre, I ended up in the local bookstore around the corner from our offices. And I initially ended up in the business section of the bookstore looking for a business solution. But given my befuddled state of mind, I ended up in the self-help section very quickly. That's where I got reacquainted with Abraham Maslow's  ""hierarchy of needs. "" I took one psychology class in college, and I learned about this guy, Abraham Maslow, as many of us are familiar with his hierarchy of needs. But as I sat there for four hours, the full afternoon, reading Maslow, I recognized something that is true of most leaders. One of the simplest facts in business is something that we often neglect, and that is that we're all human. Each of us, no matter what our role is in business, has some hierarchy of needs in the workplace. So as I started reading more Maslow, what I started to realize is that Maslow, later in his life, wanted to take this hierarchy for the individual and apply it to the collective, to organizations and specifically to business. But unfortunately, he died prematurely in 1970, and so he wasn't really able to live that dream completely. So I realized in that dotcom crash that my role in life was to channel Abe Maslow. And that's what I did a few years ago when I took that five-level hierarchy of needs pyramid and turned it into what I call the transformation pyramid, which is survival, success and transformation. It's not just fundamental in business, it's fundamental in life. And we started asking ourselves the questions about how we were actually addressing the higher needs, these transformational needs for our key employees in the company. These three levels of the hierarchy needs relate to the five levels of Maslow's hierarchy of needs. But as we started asking ourselves about how we were addressing the higher needs of our employees and our customers, I realized we had no metrics. We had nothing that actually could tell us whether we were actually getting it right. So we started asking ourselves: What kind of less obvious metrics could we use to actually evaluate our employees' sense of meaning, or our customers' sense of emotional connection with us? For example, we actually started asking our employees, do they understand the mission of our company, and do they feel like they believe in it, can they actually influence it, and do they feel that their work actually has an impact on it? We started asking our customers, did they feel an emotional connection with us, in one of seven different kinds of ways. Miraculously, as we asked these questions and started giving attention higher up the pyramid, what we found is we created more loyalty. Our customer loyalty skyrocketed. Our employee turnover dropped to one-third of the industry average, and during that five year dotcom bust, we tripled in size. As I went out and started spending time with other leaders out there and asking them how they were getting through that time, what they told me over and over again was that they just manage what they can measure. What we can measure is that tangible stuff at the bottom of the pyramid. They didn't even see the intangible stuff higher up the pyramid. So I started asking myself the question: How can we get leaders to start valuing the intangible? If we're taught as leaders to just manage what we can measure, and all we can measure is the tangible in life, we're missing a whole lot of things at the top of the pyramid. So I went out and studied a bunch of things, and I found a survey that showed that 94 percent of business leaders worldwide believe that the intangibles are important in their business, things like intellectual property, their corporate culture, their brand loyalty, and yet, only five percent of those same leaders actually had a means of measuring the intangibles in their business. So as leaders, we understand that intangibles are important, but we don't have a clue how to measure them. So here's another Einstein quote:  ""Not everything that can be counted counts, and not everything that counts can be counted. "" I hate to argue with Einstein, but if that which is most valuable in our life and our business actually can't be counted or valued, aren't we going to spend our lives just mired in measuring the mundane? It was that sort of heady question about what counts that led me to take my CEO hat off for a week and fly off to the Himalayan peaks. I flew off to a place that's been shrouded in mystery for centuries, a place some folks call Shangri-La. It's actually moved from the survival base of the pyramid to becoming a transformational role model for the world. I went to Bhutan. The teenage king of Bhutan was also a curious man, but this was back in 1972, when he ascended to the throne two days after his father passed away. At age 17, he started asking the kinds of questions that you'd expect of someone with a beginner's mind. On a trip through India, early in his reign as king, he was asked by an Indian journalist about the Bhutanese GDP, the size of the Bhutanese GDP. The king responded in a fashion that actually has transformed us four decades later. He said the following, he said:  ""Why are we so obsessed and focused with gross domestic product? Why don't we care more about gross national happiness? "" Now, in essence, the king was asking us to consider an alternative definition of success, what has come to be known as GNH, or gross national happiness. Most world leaders didn't take notice, and those that did thought this was just  ""Buddhist economics. "" But the king was serious. This was a notable moment, because this was the first time a world leader in almost 200 years had suggested that intangible of happiness -- that leader 200 years ago, Thomas Jefferson with the Declaration of Independence -- 200 years later, this king was suggesting that intangible of happiness is something that we should measure, and it's something we should actually value as government officials. For the next three dozen years as king, this king actually started measuring and managing around happiness in Bhutan -- including, just recently, taking his country from being an absolute monarchy to a constitutional monarchy with no bloodshed, no coup. Bhutan, for those of you who don't know it, is the newest democracy in the world, just two years ago. So as I spent time with leaders in the GNH movement, I got to really understand what they're doing. And I got to spend some time with the prime minister. Over dinner, I asked him an impertinent question. I asked him,  ""How can you create and measure something which evaporates -- in other words, happiness? "" And he's a very wise man, and he said,  ""Listen, Bhutan's goal is not to create happiness. We create the conditions for happiness to occur. In other words, we create a habitat of happiness. "" Wow, that's interesting. He said that they have a science behind that art, and they've actually created four essential pillars, nine key indicators and 72 different metrics that help them to measure their GNH. One of those key indicators is: How do the Bhutanese feel about how they spend their time each day? It's a good question. How do you feel about how you spend your time each day? Time is one of the scarcest resources in the modern world. And yet, of course, that little intangible piece of data doesn't factor into our GDP calculations. As I spent my week up in the Himalayas, I started to imagine what I call an emotional equation. And it focuses on something I read long ago from a guy named Rabbi Hyman Schachtel. How many know him? Anybody? 1954, he wrote a book called  ""The Real Enjoyment of Living, "" and he suggested that happiness is not about having what you want; instead, it's about wanting what you have. Or in other words, I think the Bhutanese believe happiness equals wanting what you have -- imagine gratitude -- divided by having what you want -- gratification. The Bhutanese aren't on some aspirational treadmill, constantly focused on what they don't have. Their religion, their isolation, their deep respect for their culture and now the principles of their GNH movement all have fostered a sense of gratitude about what they do have. How many of us here, as TEDsters in the audience, spend more of our time in the bottom half of this equation, in the denominator? We are a bottom-heavy culture in more ways than one. (Laughter) The reality is, in Western countries, quite often we do focus on the pursuit of happiness as if happiness is something that we have to go out -- an object that we're supposed to get, or maybe many objects. Actually, in fact, if you look in the dictionary, many dictionaries define pursuit as to  ""chase with hostility. "" Do we pursue happiness with hostility? Good question. But back to Bhutan. Bhutan's bordered on its north and south by 38 percent of the world's population. Could this little country, like a startup in a mature industry, be the spark plug that influences a 21st century of middle-class in China and India? Bhutan's created the ultimate export, a new global currency of well-being, and there are 40 countries around the world today that are studying their own GNH. You may have heard, this last fall Nicolas Sarkozy in France announcing the results of an 18-month study by two Nobel economists, focusing on happiness and wellness in France. Sarkozy suggested that world leaders should stop myopically focusing on GDP and consider a new index, what some French are calling a  ""joie de vivre index. "" I like it. Co-branding opportunities. Just three days ago, three days ago here at TED, we had a simulcast of David Cameron, potentially the next prime minister of the UK, quoting one of my favorite speeches of all-time, Robert Kennedy's poetic speech from 1968 when he suggested that we're myopically focused on the wrong thing and that GDP is a misplaced metric. So it suggests that the momentum is shifting. I've taken that Robert Kennedy quote, and I've turned it into a new balance sheet for just a moment here. This is a collection of things that Robert Kennedy said in that quote. GDP counts everything from air pollution to the destruction of our redwoods. But it doesn't count the health of our children or the integrity of our public officials. As you look at these two columns here, doesn't it make you feel like it's time for us to start figuring out a new way to count, a new way to imagine what's important to us in life? (Applause) Certainly Robert Kennedy suggested at the end of the speech exactly that. He said GDP  ""measures everything in short, except that which makes life worthwhile. "" Wow. So how do we do that? Let me say one thing we can just start doing ten years from now, at least in this country. Why in the heck in America are we doing a census in 2010? We're spending 10 billion dollars on the census. We're asking 10 simple questions -- it is simplicity. But all of those questions are tangible. They're about demographics. They're about where you live, how many people you live with, and whether you own your home or not. That's about it. We're not asking meaningful metrics. We're not asking important questions. We're not asking anything that's intangible. Abe Maslow said long ago something you've heard before, but you didn't realize it was him. He said,  ""If the only tool you have is a hammer, everything starts to look like a nail. "" We've been fooled by our tool. Excuse that expression. (Laughter) We've been fooled by our tool. GDP has been our hammer. And our nail has been a 19th- and 20th-century industrial-era model of success. And yet, 64 percent of the world's GDP today is in that intangible industry we call service, the service industry, the industry I'm in. And only 36 percent is in the tangible industries of manufacturing and agriculture. So maybe it's time that we get a bigger toolbox, right? Maybe it's time we get a toolbox that doesn't just count what's easily counted, the tangible in life, but actually counts what we most value, the things that are intangible. I guess I'm sort of a curious CEO. I was also a curious economics major as an undergrad. I learned that economists measure everything in tangible units of production and consumption as if each of those tangible units is exactly the same. They aren't the same. In fact, as leaders, what we need to learn is that we can influence the quality of that unit of production by creating the conditions for our employees to live their calling. In Vivian's case, her unit of production isn't the tangible hours she works, it's the intangible difference she makes during that one hour of work. This is Dave Arringdale who's actually been a longtime guest at Vivian's motel. He stayed there a hundred times in the last 20 years, and he's loyal to the property because of the relationship that Vivian and her fellow employees have created with him. They've created a habitat of happiness for Dave. He tells me that he can always count on Vivian and the staff there to make him feel at home. Why is it that business leaders and investors quite often don't see the connection between creating the intangible of employee happiness with creating the tangible of financial profits in their business? We don't have to choose between inspired employees and sizable profits, we can have both. In fact, inspired employees quite often help make sizable profits, right? So what the world needs now, in my opinion, is business leaders and political leaders who know what to count. We count numbers. We count on people. What really counts is when we actually use our numbers to truly take into account our people. I learned that from a maid in a motel and a king of a country. What can you start counting today? What one thing can you start counting today that actually would be meaningful in your life, whether it's your work life or your business life? Thank you very much. (Applause)""}]",372,
Where joy hides and how to find it,https://www.ted.com/talks/ingrid_fetell_lee_where_joy_hides_and_how_to_find_it,"Cherry blossoms and rainbows, bubbles and googly eyes: Why do some things seem to create such universal joy? In this captivating talk, Ingrid Fetell Lee reveals the surprisingly tangible roots of joy and shows how we all can find -- and create -- more of it in the world around us.","2,283,917","happiness, creativity, design, evolutionarypsychology, evolution, humanity, nature","It's 2008, and I'm just finishing my first year of design school. And I'm at my first year-end review, which is a form of ritual torture for design students, where they make you take everything you made over the course of the year and lay it out on a table and stand next to it while a bunch of professors, most of whom you've never seen before, give you their unfiltered opinions of it. So it's my turn and I'm standing next to my table, everything neatly lined up, and I'm just hoping that my professors can see how much effort I've put into making my designs practical and ergonomic and sustainable. And I'm starting to get really nervous, because for a long time, no one says anything. It's just completely silent. And then one of the professors starts to speak, and he says,  ""Your work gives me a feeling of joy. "" Joy? I wanted to be a designer because I wanted to solve real problems. Joy is nice, I guess, but it's kind of light -- not substantial. But I was also kind of intrigued, because joy is this intangible feeling, and how does that come from the stuff on the table next to me? I asked the professors,  ""How do things make us feel joy? How do tangible things make us feel intangible joy? "" They hemmed and hawed and gestured a lot with their hands.  ""They just do, "" they said. I packed up my things for the summer, but I couldn't stop thinking about this question ... and this launched a journey -- one that I didn't know at the time would take me 10 years -- to understand the relationship between the physical world and the mysterious, quixotic emotion we call  ""joy. "" And what I discovered is that not only are they linked, but that the physical world can be a powerful resource to us in creating happier, healthier lives. After my review, I thought,  ""I know what joy feels like, but what is it, exactly? "" And I found that even scientists don't always agree, and they sometimes use the words  ""joy "" and  ""happiness "" and  ""positivity "" more or less interchangeably. But broadly speaking, when psychologists use the word joy, what they mean is an intense, momentary experience of positive emotion -- one that makes us smile and laugh and feel like we want to jump up and down. And this is actually a technical thing. That feeling of wanting to jump up and down is one of the ways that scientists measure joy. It's different than happiness, which measures how good we feel over time. Joy is about feeling good in the moment, right now. And this was interesting to me because as a culture, we are obsessed with the pursuit of happiness, and yet in the process, we kind of overlook joy. So this got me thinking: Where does joy come from? I started asking everyone I knew, and even people I just met on the street, about the things that brought them joy. On the subway, in a café, on an airplane, it was,  ""Hi, nice to meet you. What brings you joy? "" I felt like a detective. I was like,  ""When did you last see it? Who were you with? What color was it? Did anyone else see it? "" I was the Nancy Drew of joy. (Laughter) And after a few months of this, I noticed that there were certain things that started to come up again and again and again. They were things like cherry blossoms and bubbles ... swimming pools and tree houses ... hot air balloons and googly eyes -- (Laughter) and ice cream cones, especially the ones with the sprinkles. These things seemed to cut across lines of age and gender and ethnicity. I mean, if you think about it, we all stop and turn our heads to the sky when the multicolored arc of a rainbow streaks across it. And fireworks -- we don't even need to know what they're for, and we feel like we're celebrating, too. These things aren't joyful for just a few people; they're joyful for nearly everyone. They're universally joyful. And seeing them all together, it gave me this indescribably hopeful feeling. The sharply divided, politically polarized world we live in sometimes has the effect of making our differences feel so vast as to be insurmountable. And yet underneath it all, there's a part of each of us that finds joy in the same things. And though we're often told that these are just passing pleasures, in fact, they're really important, because they remind us of the shared humanity we find in our common experience of the physical world. But I still needed to know: What is it about these things that makes them so joyful? I had pictures of them up on my studio wall, and every day, I would come in and try to make sense of it. And then one day, something just clicked. I saw all these patterns: round things ... pops of bright color ... symmetrical shapes ... a sense of abundance and multiplicity ... a feeling of lightness or elevation. When I saw it this way, I realized that though the feeling of joy is mysterious and elusive, we can access it through tangible, physical attributes, or what designers call aesthetics, a word that comes from the same root as the Greek word  ""aísthomai, "" which means,  ""I feel, ""  ""I sense, ""  ""I perceive. "" And since these patterns were telling me that joy begins with the senses, I began calling them  ""Aesthetics of Joy ""; the sensations of joy. And in the wake of this discovery, I noticed something that as I walked around, I began spotting little moments of joy everywhere I went -- a vintage yellow car or a clever piece of street art. It was like I had a pair of rose-colored glasses, and now that I knew what to look for, I was seeing it everywhere. It was like these little moments of joy were hidden in plain sight. And at the same time, I had another realization, that if these are the things that bring us joy, then why does so much of the world look like this? (Laughter) Why do we go to work here? Why do we send our kids to schools that look like this? Why do our cities look like this? And this is most acute for the places that house the people that are most vulnerable among us: nursing homes, hospitals, homeless shelters, housing projects. How did we end up in a world that looks like this? We all start out joyful, but as we get older, being colorful or exuberant opens us up to judgment. Adults who exhibit genuine joy are often dismissed as childish or too feminine or unserious or self-indulgent, and so we hold ourselves back from joy, and we end up in a world that looks like this. But if the aesthetics of joy can be used to help us find more joy in the world around us, then couldn't they also be used to create more joy? I spent that last two years scouring the planet, looking for different ways that people have answered this question. And this led me to the work of the artist Arakawa and the poet Madeline Gins, who believed that these kinds of environments are literally killing us. And so they set out the create an apartment building that they believed would reverse aging. And this is it. (Laughter) (Applause) It's a real place, just outside Tokyo. I spent a night there, and it's a lot. (Laughter) The floors undulate, so you don't end up walking around so much as kind of bouncing around the apartment, and there are bright colors in every direction. I'm not sure I left any younger, but it's as if, by trying to create an apartment that would make us feel youthful, they ended up creating one that was joyful. And yes, this is a bit much for everyday life, but it made me wonder: What about the rest of us? How do we bring these ideas back into the real world? So I started finding people who were doing just that. For example, this hospital, designed by the Danish artist Poul Gernes. Or these schools, transformed by the non-profit Publicolor. What's interesting is that Publicolor has heard from school administrators who say that attendance improves, graffiti disappears and kids actually say they feel safer in these painted schools. And this aligns with research conducted in four countries, which shows that people working in more colorful offices are actually more alert, more confident and friendlier than those working in drab spaces. Why would this be the case? Well, as I started to trace back our love of color, I found that some researchers see a connection to our evolution. Color, in a very primal way, is a sign of life, a sign of energy. And the same is true of abundance. We evolved in a world where scarcity is dangerous, and abundance meant survival. So, one confetto -- which happens to be the singular of confetti, in case you were wondering -- (Laughter) isn't very joyful, but multiply it, and you have a handful of one of the most joyful substances on the planet. The architect Emmanuelle Moureaux uses this idea in her work a lot. This is a nursing home she designed, where she uses these multicolored spheres to create a feeling of abundance. And what about all those round things I noticed? Well, it turns out neuroscientists have studied this, too. They put people into fMRI machines, and they showed them pictures of angular objects and round ones. And what they found is that the amygdala, a part of the brain associated in part with fear and anxiety, lit up when people looked at angular objects, but not when they looked at the round ones. They speculate that because angles in nature are often associated with objects that might be dangerous to us, that we evolved an unconscious sense of caution around these shapes, whereas curves set us at ease. You can see this in action in the new Sandy Hook Elementary School. After the mass shooting there in 2012, the architects Svigals + Partners knew that they needed to create a building that was secure, but they wanted to create one that was joyful, and so they filled it with curves. There are waves running along the side of the building, and these squiggly canopies over the entryway, and the whole building bends toward the entrance in a welcoming gesture. Each moment of joy is small, but over time, they add up to more than the sum of their parts. And so maybe instead of chasing after happiness, what we should be doing is embracing joy and finding ways to put ourselves in the path of it more often. Deep within us, we all have this impulse to seek out joy in our surroundings. And we have it for a reason. Joy isn't some superfluous extra. It's directly connected to our fundamental instinct for survival. On the most basic level, the drive toward joy is the drive toward life. Thank you. (Applause) Thank you. Thank you, thank you. (Applause)""}]",51,2
